debian-13|debian 13
ubuntu-24-04|ubuntu 24.04
arch-linux|arch linux
fedora-42|fedora 42
libreoffice|libreoffice
blender|blender
beatles-abbey-road|beatles abbey road
daft-punk-discovery|daft punk discovery
mozart-requiem|mozart requiem
taylor-swift-folklore|taylor swift folklore
matrix-1999|matrix 1999
parasite-2019|parasite 2019
dune-part-two|dune part two
dune-frank-herbert|dune frank herbert
national-geographic|national geographic
programming-rust|programming rust
witcher-3|witcher 3
starfield|starfield
factorio|factorio
android|android
raspberry-pi|raspberry pi
documentary-planet|documentary planet
