# BOB-102 round-13 — gofmt legality of every probed spelling
# Measured 2026-08-27T01:26:34Z with go version go1.26.2-X:nodwarf5 linux/amd64
# 'stable'    = gofmt output is BYTE-IDENTICAL to the source (survives a gofmt-on-save repo)
# 'rewritten' = legal Go that gofmt normalises away (still legal committed source)

CASE                               GOFMT
defmux-ctl-normal                  legal/stable
defmux-H1-newline                  legal/stable
defmux-H2-space                    legal/rewritten
engine-A1-dot-newline              legal/stable
engine-A2-space-around             legal/rewritten
engine-A3-space-before             legal/rewritten
engine-A4-space-after              legal/rewritten
engine-A5-space-paren              legal/rewritten
engine-A6-space-inparen            legal/rewritten
engine-A7-newline-New              legal/stable
engine-A8-tab-after                legal/rewritten
engine-ctlA-normal                 legal/stable
ginDotted-ctl-normal               legal/stable
ginDotted-D1-newline               legal/stable
ginDotted-D2-space                 legal/rewritten
ginDotted-D3-midspace              legal/rewritten
group-ctl-normal                   legal/stable
group-E1-newline                   legal/stable
group-E2-space                     legal/rewritten
group-E3-target-up                 legal/rewritten
group-E4-eq-newline                legal/stable
Jbypass-pair                       legal/rewritten
Jbypass-solo                       legal/rewritten
Jcollateral                        legal/rewritten
Kalias-gin                         legal/stable
Kalias-mux                         legal/stable
Lboth-split                        legal/stable
Mcomment-between                   legal/stable
muxdecl-ctl-normal                 legal/stable
muxdecl-F1-newline                 legal/stable
muxdecl-F2-space                   legal/rewritten
muxdecl-F3-paren                   legal/rewritten
muxDotted-ctl-normal               legal/stable
muxDotted-G1-newline               legal/stable
muxDotted-G2-space                 legal/rewritten
Nfp-foo-New                        legal/stable
Nfp-mygin                          legal/stable
Nfp-string-carrier                 legal/stable
Osplit-Any                         legal/stable
Osplit-Handle                      legal/stable
Osplit-Match                       legal/stable
Osplit-NoMethod                    legal/stable
Osplit-NoRoute                     legal/stable
Osplit-Static                      legal/stable
Osplit-StaticFile                  legal/stable
Osplit-StaticFileFS                legal/stable
Osplit-StaticFS                    legal/stable
P-float-literal                    legal/stable
P-real-split                       legal/rewritten
P-x2-selector                      legal/rewritten
Q1-oneline-case                    legal/rewritten
Q2-oneline-case                    legal/rewritten
Q3-label-functype                  legal/rewritten
Q-case-functype                    legal/stable
R2-newline-escape                  legal/stable
R-newline-escape                   legal/stable
S-chan-functype                    legal/stable
S-free-func-result                 legal/stable
S-struct-functype                  legal/stable
T1-alias-two-engines               legal/stable
T2-alias-one-engine                legal/stable
T3-alias-split                     legal/stable
T4-plain-import-two                legal/stable
T5-plain-import-one                legal/stable
T6-block-import-two                legal/stable
T7-dot-import                      legal/stable
T8-alias-fp-otherpkg               legal/stable
U1-collateral-ordinary             legal/stable
U2-collateral-split                legal/rewritten
U3-bypass-pair                     legal/rewritten
unmod-C1-newline                   legal/stable
unmod-C2-space                     legal/rewritten
unmod-C3-paren                     legal/rewritten
unmod-C4-static                    legal/stable
unmod-ctl-normal                   legal/stable
use-B1-newline                     legal/stable
use-B2-space                       legal/rewritten
use-B3-paren                       legal/rewritten
use-ctl-normal                     legal/stable
wrap-ctl-normal                    legal/stable
wrap-I1-space                      legal/rewritten
wrap-I2-newline                    legal/stable
