2026-08-20T15:39:15Z soak start: duration=2400s concurrency=6 host=localhost
2026-08-20T15:39:15Z 7186=[200 0.012405] 7187=[200 0.008046]
2026-08-20T15:39:22Z 7186=[200 0.213327] 7187=[200 2.207546]
2026-08-20T15:39:30Z 7186=[200 0.124718] 7187=[200 2.531489]
2026-08-20T15:39:38Z 7186=[200 0.516079] 7187=[200 1.719623]
2026-08-20T15:39:53Z 7186=[200 0.066316] 7187=[000 10.004643000 timeout]
2026-08-20T15:39:53Z *** 7187 NOT ANSWERING ***
2026-08-20T15:40:08Z 7186=[200 0.098182] 7187=[000 10.003557000 timeout]
2026-08-20T15:40:08Z *** 7187 NOT ANSWERING ***
2026-08-20T15:40:24Z 7186=[200 0.042563] 7187=[000 10.004566000 timeout]
2026-08-20T15:40:24Z *** 7187 NOT ANSWERING ***
2026-08-20T15:40:39Z 7186=[200 0.066668] 7187=[000 10.004941000 timeout]
2026-08-20T15:40:39Z *** 7187 NOT ANSWERING ***
2026-08-20T15:40:54Z 7186=[200 0.044864] 7187=[000 10.004049000 timeout]
2026-08-20T15:40:54Z *** 7187 NOT ANSWERING ***
2026-08-20T15:41:09Z 7186=[200 0.045344] 7187=[000 10.004030000 timeout]
2026-08-20T15:41:09Z *** 7187 NOT ANSWERING ***
2026-08-20T15:41:24Z 7186=[200 0.053915] 7187=[000 10.003682000 timeout]
2026-08-20T15:41:24Z *** 7187 NOT ANSWERING ***
2026-08-20T15:41:39Z 7186=[200 0.084039] 7187=[000 10.039772000 timeout]
2026-08-20T15:41:39Z *** 7187 NOT ANSWERING ***
2026-08-20T15:41:55Z 7186=[200 0.060597] 7187=[000 10.005010000 timeout]
2026-08-20T15:41:55Z *** 7187 NOT ANSWERING ***
2026-08-20T15:42:10Z 7186=[200 0.083060] 7187=[000 10.007989000 timeout]
2026-08-20T15:42:10Z *** 7187 NOT ANSWERING ***
2026-08-20T15:42:25Z 7186=[200 0.049810] 7187=[000 10.003034000 timeout]
2026-08-20T15:42:25Z *** 7187 NOT ANSWERING ***
2026-08-20T15:42:41Z 7186=[200 0.038959] 7187=[000 10.004592000 timeout]
2026-08-20T15:42:41Z *** 7187 NOT ANSWERING ***
2026-08-20T15:42:56Z 7186=[200 0.051849] 7187=[000 10.004712000 timeout]
2026-08-20T15:42:56Z *** 7187 NOT ANSWERING ***
2026-08-20T15:43:11Z 7186=[200 0.048135] 7187=[000 10.004265000 timeout]
2026-08-20T15:43:11Z *** 7187 NOT ANSWERING ***
2026-08-20T15:43:26Z 7186=[200 0.062625] 7187=[000 10.004460000 timeout]
2026-08-20T15:43:26Z *** 7187 NOT ANSWERING ***
2026-08-20T15:43:42Z 7186=[200 0.055649] 7187=[000 10.005462000 timeout]
2026-08-20T15:43:42Z *** 7187 NOT ANSWERING ***
2026-08-20T15:43:57Z 7186=[200 0.072867] 7187=[000 10.004195000 timeout]
2026-08-20T15:43:57Z *** 7187 NOT ANSWERING ***
2026-08-20T15:44:12Z 7186=[200 0.049559] 7187=[000 10.004134000 timeout]
2026-08-20T15:44:12Z *** 7187 NOT ANSWERING ***
2026-08-20T15:44:27Z 7186=[200 0.077323] 7187=[000 10.004114000 timeout]
2026-08-20T15:44:27Z *** 7187 NOT ANSWERING ***
2026-08-20T15:44:42Z 7186=[200 0.071596] 7187=[000 10.006289000 timeout]
2026-08-20T15:44:42Z *** 7187 NOT ANSWERING ***
2026-08-20T15:44:57Z 7186=[200 0.070620] 7187=[000 10.005426000 timeout]
2026-08-20T15:44:57Z *** 7187 NOT ANSWERING ***
2026-08-20T15:45:13Z 7186=[200 0.073459] 7187=[000 10.004672000 timeout]
2026-08-20T15:45:13Z *** 7187 NOT ANSWERING ***
